X,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_04688,0,21.04384763,12.29260336,24.79660134,26.24400864,14.88936371,15.46897157,7.286952851,0,30.26412913,20.6945613,12.78385892,13.54885695,6.315191367,5.711136983,12.53821509,0,28.05792965,7.478096568,10.20631945,21.68318054,8.950125176,5.012726085,5.586485037
MGG_04689,899.4809981,935.3917084,210.7365093,550.7329976,1135.701565,583.5066179,476.191506,1264.176502,629.3390738,516.522917,421.1201128,397.4070137,900.9373685,553.5323097,1266.670649,884.9015857,0,815.6565752,193.8492049,278.1583832,1078.601914,1013.732898,702.4328318,969.3019322
MGG_04692,0,38.18324181,14.79510979,30.6614505,43.2849512,22.40481009,38.03824607,13.56491289,0,27.19751775,28.69346704,25.60292682,30.36087253,6.080661479,9.946089946,22.6754512,0,38.07959749,32.09311955,28.49912106,32.79731943,8.093182529,7.32306625,5.809338813
MGG_04693,0,44.50963667,36.56245127,45.32230799,57.58229144,47.20883064,41.32297189,22.65021903,0,27.24808065,83.40124195,44.3951398,47.52705691,8.630285218,14.21230263,22.43714284,0,44.68063842,30.22911304,32.81851008,64.39819755,18.0182857,9.337593441,20.83753453
MGG_04694,0,54.75605223,76.38006513,73.52285519,112.5482678,67.3184302,82.80799465,37.56352754,0,57.94605834,94.48661354,84.72797923,80.95442027,14.38779037,29.89749954,27.69997267,0,59.03505166,44.84254522,70.46327164,101.0326886,36.10723133,28.25864413,53.68729484
MGG_04696,2815.963125,556.0228685,565.0106214,686.7880331,906.2075061,603.073751,592.1241679,546.8576361,0,677.4746126,586.2846634,450.3687115,1772.996725,562.285744,732.358486,601.3562997,0,426.5702749,399.8786431,387.6542201,1618.05196,482.3873689,595.6300183,1033.862105
MGG_04697,0,63.8664074,98.68054591,94.42329165,111.9429315,68.11984008,70.61411486,103.6655793,0,39.36395571,98.69569463,101.8447427,64.58330374,133.7990895,90.8359631,119.6526205,0,45.61799447,145.8991902,118.2318792,101.2739967,92.37079795,107.0733813,68.57505391
MGG_04698,0,31.22170683,58.06885642,29.59233271,46.28351615,21.8095058,27.73051623,82.61456225,0,20.33269969,53.87593201,41.87004755,43.44463378,71.84598724,53.01912798,59.74413387,0,31.97849828,90.164581,80.35581529,53.13885731,73.03914468,63.145457,37.64961668
MGG_04699,207.1377508,217.8311923,21.90055424,147.9636892,225.4310355,78.9639546,118.7182137,479.5644291,0,122.8692817,88.48684352,72.88248714,240.7885295,204.950321,446.4928576,323.1524979,0,176.5814335,136.3445549,100.009921,245.1941323,429.5852954,404.8208019,406.9833508
MGG_04702,0,85.15106808,100.5984567,73.4274948,77.69692234,77.21854953,64.51362142,18.63560219,0,94.9406535,67.74288145,41.84748961,79.37943155,14.1316229,17.78075688,33.45928013,0,73.8053,30.59909086,33.93204085,57.26722033,19.10732864,9.194683451,21.14451981
MGG_04703,0,31.03234124,19.79341851,16.30202382,25.67106202,22.97786062,23.22421693,18.01487661,0,37.40963906,20.46451931,18.4636126,25.1217132,16.48554452,24.81348089,21.27947288,0,40.15873633,8.340191273,19.42212583,28.31594796,18.6835488,14.50665964,15.48281679
MGG_04704,0,21.8522812,12.48734707,17.23487847,8.78204366,9.848997534,14.50526439,11.10359296,0,26.6444395,16.81792942,7.791831166,16.89157146,3.207619417,2.017952977,13.29062595,0,40.71776168,13.0226866,23.32802594,12.81553051,5.534209852,2.809456244,2.837494042
MGG_04708,0,173.2414342,121.4555305,100.0435795,121.3791793,131.9945735,197.3378628,45.64390515,0,152.8580021,106.9931203,109.8176123,76.04976173,30.72731269,46.80899956,71.87000731,0,168.1768904,77.1127045,121.7717896,90.31066836,42.94578419,37.22465774,47.15661417
MGG_04708,0,173.2414342,121.4555305,100.0435795,121.3791793,131.9945735,197.3378628,45.64390515,0,152.8580021,106.9931203,109.8176123,76.04976173,30.72731269,46.80899956,71.87000731,0,168.1768904,77.1127045,121.7717896,90.31066836,42.94578419,37.22465774,47.15661417
MGG_04709,0,14.90350985,12.05976784,19.55465843,24.67298244,21.90586696,24.62115757,6.932295656,0,12.47617323,16.406128,22.49908284,16.11178981,7.228170424,10.80729376,10.89076261,0,15.25276891,17.78534094,13.35066728,25.50353176,8.51452111,7.975333111,13.55220422
MGG_04710,0,14.45576439,24.65412031,17.67402715,19.90648076,23.65019878,18.91694391,5.005666044,0,16.63160189,16.65282619,18.06518169,17.94958031,4.706094927,11.33093025,15.72798487,401.1342136,10.62035952,15.72541664,18.40409124,15.78477268,12.02900484,6.055668102,11.59489671
MGG_04711,0,7.617275976,6.257213101,4.251631444,1.508757899,2.256081219,0,0.989126345,0,4.929640365,2.24725327,0,0,0,0.808931584,0,0,0,1.740123551,0,0,2.535410709,1.126219449,2.729901331
MGG_04712,0,22.75802968,43.07883486,28.30457336,40.50392634,32.60332423,18.25367376,14.77599524,0,21.34524359,58.38336866,24.34437713,30.62259761,21.71371181,25.08778421,23.06917503,0,26.85679111,38.42696981,45.89044621,39.62306754,21.40764084,14.44665362,22.45879389
MGG_04714,178.3124719,116.8400292,119.972836,120.4585317,115.1962581,105.6321252,108.5017777,73.15086611,249.5194588,119.2734538,131.5715781,106.9434613,105.0999262,51.83921926,53.38510869,73.26995592,0,131.1444762,66.132816,80.40047635,100.479509,54.90637886,46.85039458,56.39209416
MGG_04715,0,28.66542767,41.86172827,35.55509404,18.92592162,18.86691755,12.15661407,4.135880623,0,34.35422948,9.396546056,34.82773585,25.16717729,34.94726285,8.456059432,14.85152848,0,18.19992525,36.38030325,34.75701275,42.96190797,23.85322277,25.90012965,9.51222096
MGG_04716,0,431.5776168,547.328401,426.5721724,666.1160317,422.5775593,321.4998612,180.6606146,0,375.6697144,538.8944481,504.5195684,444.3456632,363.4622949,280.1696243,346.4327672,0,459.6917225,252.9649354,348.5735054,519.4248464,342.587857,208.1490229,240.2586372
MGG_04717,0,22.10590381,31.66167138,23.72798461,33.30675229,14.68949148,12.98050631,10.30442549,0,17.1185114,35.11682911,23.24257614,36.57691649,22.24592761,13.24275827,15.85806361,0,32.38898639,34.96132047,27.83445419,22.45893656,13.6782427,12.36115413,13.88108888
MGG_04718,0,58.26674609,99.5555225,53.6612308,122.3338087,62.9895738,37.06518981,51.4495709,0,32.6804784,51.56966983,70.08462863,85.94213337,38.35917571,50.73956268,50.26292176,0,29.96518499,47.91854919,44.50874334,90.3828955,43.63670138,39.6279795,53.59663154
