,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_05143,0,10,6,12,67,67,38,4,0,2,1,2,8,13,72,27,0,3,6,2,33,70,46,42
MGG_05146,0,42,26,31,77,56,29,22,0,28,27,15,110,62,59,17,0,16,16,6,65,11,33,31
MGG_05147,0,62,12,26,89,53,28,22,0,20,22,17,29,13,58,33,0,28,21,12,36,16,25,20
MGG_05148,0,22,26,12,9,19,11,20,0,9,5,6,2,15,11,22,0,4,5,2,3,6,9,7
MGG_05149,0,31,32,15,33,41,12,30,0,6,10,5,12,15,23,20,0,6,8,10,14,16,19,21
MGG_05150,0,33,43,37,102,57,28,40,0,13,20,23,104,222,275,69,0,12,41,26,109,78,160,99
MGG_05151,0,85,65,75,231,134,94,39,0,27,30,47,177,79,314,43,0,33,35,29,216,65,97,99
MGG_05152,0,23,5,10,37,81,27,5,0,1,3,4,20,9,28,15,0,4,1,2,18,15,12,21
MGG_05153,0,37,28,44,249,233,91,21,0,14,5,8,238,48,102,56,0,14,7,10,210,28,57,30
MGG_05155,3,312,287,540,516,201,152,116,0,181,227,331,487,115,714,136,0,111,270,305,566,187,256,446
MGG_05156,1,284,175,244,474,368,190,95,0,128,85,100,683,270,627,132,0,83,71,76,492,134,329,274
MGG_05157,1,7,1,15,21,20,6,3,0,2,3,1,2,2,2,5,0,2,0,5,5,2,3,3
MGG_05158,0,7,22,6,19,11,1,10,0,2,18,18,25,157,157,10,0,1,43,26,16,82,167,59
MGG_05159,0,10,5,3,65,32,20,12,0,4,4,6,52,27,121,20,0,3,3,4,45,27,42,37
MGG_05160,0,225,113,77,124,65,46,35,0,100,71,35,121,60,141,53,0,119,72,32,105,41,72,62
MGG_05161,0,25,24,16,4,7,2,0,0,18,14,9,1,2,2,5,0,8,15,9,4,0,1,0
MGG_05162,0,2,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0
