Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_15625,0,0,0,18.64132697,1.17559717,0,0.180932128,0.640423325
MGG_08481,0,0,0,15.48462005,1.682341699,0.984186894,0.745667537,1.977489984
MGG_18019,0,0,1.204717037,13.40416879,5.502564396,0.777644607,0.099947731,0.421306903
MGG_07804,0,0,0,9.540382796,5.433390948,1.404610881,3.890306479,1.702153554
MGG_00816,0,3.86538775,1.204717037,3.97364565,2.691910183,6.416690021,3.257598627,0.567438089
MGG_08399,0,0,0,6.300610751,3.441697992,3.965905897,6.843156704,1.882136621
MGG_07994,0,0,0,20.1245588,0.900951526,0.328062298,0,1.207861414
MGG_05749,0,14.29090243,3.140187654,4.272255361,0.684534934,0.538274292,0.099947731,0.219116422
MGG_05403,0,3.200996339,0,15.07615068,2.734219164,1.312249192,1.453408404,0
MGG_16724,0,1.214963314,0,2.149524944,1.682341699,6.834679969,9.690765311,2.612471124
MGG_08432,0,0,0,20.32879349,2.177324508,0.328062298,1.737263954,0
MGG_13868,0,0,0,9.72913285,4.435584183,3.103239013,6.75108987,0.640423325
MGG_09421,0,0,0,19.11737683,3.453459712,0.656124596,0.361864256,1.207861414
MGG_05764,0,4.323086939,6.054841919,1.184622129,1.458083961,6.049695949,4.076143814,1.685227613
MGG_00565,0,3.500561275,0,0,3.790492759,7.784803168,9.572017075,0.657349266
MGG_08191,0,1.135896187,1.658579204,6.668294145,3.279589879,6.119003064,3.07964219,3.460527115
MGG_08407,0,0,0,3.197492889,8.496326457,2.143323715,4.682007433,7.213316602
MGG_08414,0,0,0,14.29999792,8.03178692,0.9878566,1.388411652,1.516889014
MGG_09569,0,1.214963314,1.204717037,5.593531673,2.227712414,5.248996767,6.878107683,4.646020403
MGG_09844,0,0,0,0,4.791744541,10.3850486,6.955664692,4.999623543
MGG_15689,0,0,1.658579204,4.723003885,5.375741442,7.046108982,6.697175556,1.921269976
MGG_14834,0,0,0,18.16378391,8.522611378,0,0.099947731,0.657349266
MGG_05831,0,0.378632062,0,3.863785993,16.7547191,2.599009769,3.833416473,0.421306903
MGG_07621,0,0,0,0,27.78748775,0,0.280879859,0
MGG_00486,0,2.051294565,4.119371302,2.557994311,3.670114082,10.75571238,4.297157978,1.736005436
MGG_03507,0,5.837615188,3.265800383,7.076763512,0.45243605,7.217370555,3.57447564,1.792225444
MGG_05875,0,0,2.409434074,0.639498578,3.047490995,13.80777484,5.973447044,3.640510183
MGG_16327,0,2.429926627,0,16.35514784,8.132562731,0.567432613,1.472371739,1.3539926
MGG_04354,0,1.939596669,0,0,0,4.986590525,17.07770155,7.432433024
